Prefix,Question,Perturbed,Expected_answer
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would many meals heavy in brussels sprouts benefit someone on Coumadin?,"Considering many meals heavy in brussels sprouts, would they benefit someone on Coumadin?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"Would the fastest tortoise win a race against a Chicago ""L""?","Considering the fastest tortoise, would it win a race against a Chicago ""L""?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"Does Orange County, California require airplanes to be quiet?","Considering Orange County, California, does it require airplanes to be quiet?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is Nine Inch Nails a good guest for students in earliest grade to take Iowa tests?,"Considering Nine Inch Nails, is it a good guest for students in earliest grade to take Iowa tests?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can an anchovy born in 2020 survive 25th US census?,"Considering an anchovy born in 2020, can it survive the 25th US census?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Does USA fail separation of church and state in multiple ways?,"Considering the USA, does it fail separation of church and state in multiple ways?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it normal to see a red panda in Shanghai outside of a zoo?,"Considering a red panda, is it normal to see one in Shanghai outside of a zoo?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Will bumblebees derail the United States presidential election?,"Considering bumblebees, will they derail the United States presidential election?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Do members of the Supreme Court of the United States have longer terms than most senators?,"Considering members of the Supreme Court of the United States, do they have longer terms than most senators?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be impossible to seat every Chief Justice of the United States on a Boeing 737?,"Considering every Chief Justice of the United States, would it be impossible to seat them on a Boeing 737?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would a vegetarian be able to eat something at Chick-fil-A?,"Considering a vegetarian, would they be able to eat something at Chick-fil-A?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can you see live harbor seals in Washington DC?,"Considering Washington DC, can you see live harbor seals there?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Does the Prime Minister of the United Kingdom have poor job security?,"Considering the Prime Minister of the United Kingdom, does he have poor job security?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would the United States Military Academy reject an applicant with multiple sclerosis?,"Considering the United States Military Academy, would it reject an applicant with multiple sclerosis?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be unusual to see frost in September in Texas?,"Considering frost in Texas, would it be unusual to see it in September?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"If you have a serious injury in Bangladesh, would you probably dial a Fibonacci number?","Considering a serious injury in Bangladesh, would you probably dial a Fibonacci number?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it hard to get a BLT in Casablanca?,"Considering a BLT, is it hard to get one in Casablanca?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would the yearly precipitation on Snowdon submerge an upright bowling pin?,"Considering the yearly precipitation on Snowdon, would it submerge an upright bowling pin?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it difficult to conduct astrophotography in the summer in Sweden?,"Considering astrophotography in Sweden, is it difficult to conduct it in the summer?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it normally unnecessary to wear a coat in Hollywood in July?,"Considering Hollywood in July, is it normally unnecessary to wear a coat?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would an ancient visitor to Persia probably consume crocus threads?,"Considering an ancient visitor to Persia, would they probably consume crocus threads?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can black swan's formation type help spell longest word in Dictionary?,"Considering a black swan's formation type, can it help spell the longest word in the dictionary?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Was song of Roland protagonist friendly with group that had sagas?,"Considering the protagonist of the Song of Roland, was he friendly with a group that had sagas?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it more expensive to run for President of India than to buy a new iPhone 11?,"Considering the cost to run for President of India, is it more expensive than to buy a new iPhone 11?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it hard for Rahul Dravid to order food at a restaurant in Aurangabad?,"Considering Rahul Dravid, is it hard for him to order food at a restaurant in Aurangabad?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is Autumn a good time to collect bear pelts in US?,"Considering Autumn in the US, is it a good time to collect bear pelts?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Does Rupert Murdoch's alma mater have more history than the USA?,"Considering Rupert Murdoch's alma mater, does it have more history than the USA?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is a paleo dieter unlikely to color beverages green for St. Patrick's Day?,"Considering a paleo dieter, is it unlikely for them to color beverages green for St. Patrick's Day?",Yes
