Prefix,Question,Perturbed,Expected_answer
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Will a celibate cleric likely suffer a stoning in Somalia?,Will a stoning likely be suffered by a celibate cleric in Somalia?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Could one Amazon share ever buy twenty year Netflix subscription?,Could a twenty-year Netflix subscription ever be bought with one Amazon share?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would an adherent of Zoroastrianism consult the Quran for religious guidance?,Would the Quran be consulted for religious guidance by an adherent of Zoroastrianism?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would many meals heavy in brussels sprouts benefit someone on Coumadin?,Would someone on Coumadin be benefited by many meals heavy in Brussels sprouts?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"Would the fastest tortoise win a race against a Chicago ""L""?","Would a race against a Chicago ""L"" be won by the fastest tortoise?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"Does Orange County, California require airplanes to be quiet?","Are airplanes required to be quiet by Orange County, California?",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is Nine Inch Nails a good guest for students in earliest grade to take Iowa tests?,Is Nine Inch Nails considered a good guest for students in the earliest grade to take Iowa tests?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can an anchovy born in 2020 survive 25th US census?,Can survival through the 25th US census be achieved by an anchovy born in 2020?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Does USA fail separation of church and state in multiple ways?,Is separation of church and state failed in multiple ways by the USA?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it normal to see a red panda in Shanghai outside of a zoo?,Is a red panda normally seen in Shanghai outside of a zoo?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Will bumblebees derail the United States presidential election?,Will the United States presidential election be derailed by bumblebees?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Do members of the Supreme Court of the United States have longer terms than most senators?,Are longer terms had by members of the Supreme Court of the United States than by most senators?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be impossible to seat every Chief Justice of the United States on a Boeing 737?,Would every Chief Justice of the United States be impossible to seat on a Boeing 737?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would a vegetarian be able to eat something at Chick-fil-A?,Would something at Chick-fil-A be able to be eaten by a vegetarian?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can you see live harbor seals in Washington DC?,Can live harbor seals be seen in Washington DC?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Does the Prime Minister of the United Kingdom have poor job security?,Is poor job security had by the Prime Minister of the United Kingdom?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would the United States Military Academy reject an applicant with multiple sclerosis?,Would an applicant with multiple sclerosis be rejected by the United States Military Academy?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would it be unusual to see frost in September in Texas?,Would frost in September in Texas be considered unusual?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,"If you have a serious injury in Bangladesh, would you probably dial a Fibonacci number?","If a serious injury is had in Bangladesh, would a Fibonacci number probably be dialed?",No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it hard to get a BLT in Casablanca?,Is a BLT hard to get in Casablanca?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would the yearly precipitation on Snowdon submerge an upright bowling pin?,Would an upright bowling pin be submerged by the yearly precipitation on Snowdon?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it difficult to conduct astrophotography in the summer in Sweden?,Is astrophotography difficult to be conducted in the summer in Sweden?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it normally unnecessary to wear a coat in Hollywood in July?,Is wearing a coat normally unnecessary in Hollywood in July?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Would an ancient visitor to Persia probably consume crocus threads?,Would crocus threads probably be consumed by an ancient visitor to Persia?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Can black swan's formation type help spell longest word in Dictionary?,"Can the formation type of a black swan help the longest word in the Dictionary be spelled?
",Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Was song of Roland protagonist friendly with group that had sagas?,Was the protagonist of Song of Roland considered friendly with a group that had sagas?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it more expensive to run for President of India than to buy a new iPhone 11?,Is running for President of India more expensive than buying a new iPhone 11?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is it hard for Rahul Dravid to order food at a restaurant in Aurangabad?,Is food hard to be ordered by Rahul Dravid at a restaurant in Aurangabad?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is Autumn a good time to collect bear pelts in US?,Is Autumn considered a good time for bear pelts to be collected in the US?,No
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Does Rupert Murdoch's alma mater have more history than the USA?,Is more history had by Rupert Murdoch’s alma mater than by the USA?,Yes
What is the answer to the question below? Limit your answer to only Yes or No. Don't provide '.' in your answer.,Is a paleo dieter unlikely to color beverages green for St. Patrick's Day?,Are beverages unlikely to be colored green for St. Patrick’s Day by a paleo dieter?,Yes
