Prefix,Context,Question,Perturbed,Expected_answer
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,The current Chief Justice of the United States is John Roberts. John Roberts is 65 years old. You have to be at least 21 years old to purchase alcohol in the United States.,Is the current Chief Justice of the United States forbidden from buying alcohol?,Is alcohol forbidden to be bought by the current Chief Justice of the United States,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,Groundhog day takes place on February second. New York is typically very cold in February.,Would most school children in New York be wearing jackets on groundhog day?,Would jackets be worn by most school children in New York on Groundhog Day?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"The Battle of Actium saw Mark Antony's army lose to Octavian. Octavian's army had 400 ships, 16000 infantry, and 3,000 archers. The Brazilian Navy has over 80,000 personnel, including 16,000 marines. Several Brazilian Navy ships are armed with explosive torpedoes.",Could modern Brazilian Navy have hypothetically turned the tide in Battle of Actium?,Could the tide in the Battle of Actium have hypothetically been turned by the modern Brazilian Navy?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"The Spanish-American War lasted from April 21, 1898 to August 13, 1898. William McKinley was President of the United States from March 4, 1897 to September 14, 1901. William McKinley died from gun related injuries after an assassination attempt. Abraham Lincoln died shortly after being shot by John Wilkes Booth.",Did US President during Spanish-American War suffer similar demise to Abraham Lincoln?,Was the US President during the Spanish-American War subjected to a similar demise as Abraham Lincoln?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,Clorox is a brand name of a line of bleach products. Ammonia and bleach react together to produce toxic gas.,Is it safe to use Ammonia with Clorox?,Is Ammonia safe to be used with Clorox?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,The Communist Party of the Soviet Union is a political party A perfect all kill occurs when a South Korean recording artist hits number one simultaneously on every music chart,Can the Communist Party of the Soviet Union get a perfect all kill?,Can a perfect all-kill be achieved by the Communist Party of the Soviet Union?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"A fortnight refers to a period of two weeks. Centurylink's max internet plan speed is 1,000MB per second. 1000GB takes 2.5 hours to upload for every 1000MB speed.",Can Centurylink max internet plan upload 1000GB in a fortnight?,Can 1000GB be uploaded in a fortnight by Centurylink's max internet plan?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"According to The Quran, Solomon was one of 25 prophets. According to some Islamic hadiths, there have been as many as 124,000 prophets. Solomon was one of 20 Kings of Judah.",Did Solomon make up bigger percentage of Islamic prophets than Kings of Judah?,Was a bigger percentage of Islamic prophets made up by Solomon than Kings of Judah?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,China accounts for 4.6 trillion or 12.4% of global trade. The East India Company took part in half of the world's trade from the 16th to 19th century.,Would East India Company prefer China's modern trade?,Would China's modern trade be preferred by the East India Company?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,A cleric is the term for a Muslim priest. Celibate people remain chaste and do not engage in relations with others. Stoning is a penalty in Somalia used to punish adulterers. Many Islamic militants have been in control of various parts of Somalia.,Will a celibate cleric likely suffer a stoning in Somalia?,Will a stoning likely be suffered by a celibate cleric in Somalia?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Amazon stock has reached as high as $2,500 a share as of June 2020. The basic Netflix subscription package costs $8.99 a month as of 2020.",Could one Amazon share ever buy twenty year Netflix subscription?,Could a twenty-year Netflix subscription ever be bought with one Amazon share?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,The Quran is the central religious text of Islam Zoroastrianism is an ancient religion predating Islam by several centuries,Would an adherent of Zoroastrianism consult the Quran for religious guidance?,Would the Quran be consulted for religious guidance by an adherent of Zoroastrianism?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,Brussels sprouts are high in vitamin K Eating lots of foods high in vitamin K is potentially harmful to people taking anticoagulants Coumadin is an anticoagulant,Would many meals heavy in brussels sprouts benefit someone on Coumadin?,Would someone on Coumadin be benefited by many meals heavy in Brussels sprouts?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Top speed of Chicago ""L"" is 55 mph (89 km/h). The Guinness Book of World Records maintains the record for fastest tortoise: the tortoise ran at an average speed of 0.63 miles per hour.","Would the fastest tortoise win a race against a Chicago ""L""?","Would a race against a Chicago ""L"" be won by the fastest tortoise?",No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"John Wayne Airport is in Orange County. John Wayne Airport is in very close proximity to residential areas. There is a General Aviation Noise Ordinance in Orange County, California. Commercial pilots will cut the engine of the aircraft on arrival and departure from Orange County, California.","Does Orange County, California require airplanes to be quiet?","Are airplanes required to be quiet by Orange County, California?",Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,The Iowa test is administered to students in kindergarten through eighth grade. Nine Inch Nails is a heavy industrial rock band formed in 1988. Nine Inch Nails albums are stamped with the explicit warning label.,Is Nine Inch Nails a good guest for students in earliest grade to take Iowa tests?,Is Nine Inch Nails considered a good guest for students in the earliest grade to take Iowa tests?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,The US Census takes place every ten years. The 24th US Census took place in 2020. The 25th US Census will take place in 2030. The average lifespan of an anchovy is five years.,Can an anchovy born in 2020 survive 25th US census?,Can survival through the 25th US census be achieved by an anchovy born in 2020?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Separation of church ad state refers to keeping God and religion out of state matters. Presidents of the United States are sworn in by placing their hand on a bible. The US currency contains the words, ""In God We Trust."" The Pledge of Allegiance states, ""One Nation Under God.""",Does USA fail separation of church and state in multiple ways?,Is separation of church and state failed in multiple ways by the USA?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"The red panda is endemic to the temperate forests of the Himalayas, and ranges from the foothills of western Nepal to China in the east. The red panda lives between 2,200 and 4,800 m (7,200 and 15,700 ft) altitude, inhabiting areas of moderate temperature between 10 and 25 Â°C (50 and 77 Â°F) with little annual change. Shanghai is located on an alluvial plain, as such the vast majority of its land area is flat, with an average elevation of 4 m (13 ft).",Is it normal to see a red panda in Shanghai outside of a zoo?,Is a red panda normally seen in Shanghai outside of a zoo?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"The United States presidential election is held in November of each year. Bees die off during the winter months except for the queen bee. During November, bees go into their hives and hibernate.",Will bumblebees derail the United States presidential election?,Will the United States presidential election be derailed by bumblebees?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Senators, on average, serve for 10 years. Supreme Court Justices serve for their entire life. The average term for a Supreme court justice is 16 years.",Do members of the Supreme Court of the United States have longer terms than most senators?,Are longer terms had by members of the Supreme Court of the United States than by most senators?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"There have been a total of 17 Chief Justices since the Supreme Court was established. The Boeing 737 has evolved through four generations, offering several variants for 85 to 215 passengers.",Would it be impossible to seat every Chief Justice of the United States on a Boeing 737?,Would every Chief Justice of the United States be impossible to seat on a Boeing 737?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Most people who follow a vegetarian diet don't eat meat, fish or poultry. While Chick-fil-A sells chicken, they also offer other items. Items that are meat free include: hash browns, waffle fries, and superfood sides.",Would a vegetarian be able to eat something at Chick-fil-A?,Would something at Chick-fil-A be able to be eaten by a vegetarian?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,The Smithsonian National Zoo is in Washington DC. There is a harbor seal exhibit at the Smithsonian National Zoo.,Can you see live harbor seals in Washington DC?,Can live harbor seals be seen in Washington DC?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,The Prime Minister of the United Kingdom is an elected official. Elected officials can be recalled with a vote of no confidence in UK parliament.,Does the Prime Minister of the United Kingdom have poor job security?,Is poor job security had by the Prime Minister of the United Kingdom?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,Multiple Sclerosis is a progressive condition affecting the brain and spinal chord. The US Military Academy does not give waivers for serious progressive conditions.,Would the United States Military Academy reject an applicant with multiple sclerosis?,Would an applicant with multiple sclerosis be rejected by the United States Military Academy?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Texas is a Southern state of the United States, known for high heat. On average, Texas is between 68 and 89 degrees during the month of September. Frost forms at 32 degrees or lower.",Would it be unusual to see frost in September in Texas?,Would frost in September in Texas be considered unusual?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,The number for emergency services in Bangladesh is 999 999 is not a Fibonacci sequence integer,"If you have a serious injury in Bangladesh, would you probably dial a Fibonacci number?","If a serious injury is had in Bangladesh, would a Fibonacci number probably be dialed?",No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"A BLT is a sandwich consisting of bacon, lettuce and tomato Casablanca is predominantly Muslim Islam forbids the consumption of pork and pork products",Is it hard to get a BLT in Casablanca?,Is a BLT hard to get in Casablanca?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Snowdown gets about 200 inches of precipitation a year A standard bowling pin is one foot, three inches tall",Would the yearly precipitation on Snowdon submerge an upright bowling pin?,Would an upright bowling pin be submerged by the yearly precipitation on Snowdon?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,Astrophotography is used to photograph the night sky. Swedish summers have short nights.,Is it difficult to conduct astrophotography in the summer in Sweden?,Is astrophotography difficult to be conducted in the summer in Sweden?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,The average high temperature in Hollywood in July is 77.2Â°F. The average low temperature in Hollywood in July is 61.5Â°F. A coat is a garment worn on the upper body for warmth.,Is it normally unnecessary to wear a coat in Hollywood in July?,Is wearing a coat normally unnecessary in Hollywood in July?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,Ancient Persians would have several desserts after a simple meal Saffron is made from crocus styles or threads Saffron is a common ingredient in Persian desserts,Would an ancient visitor to Persia probably consume crocus threads?,Would crocus threads probably be consumed by an ancient visitor to Persia?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Black swan's fly in a ""V"" formation. The longest word in the dictionary is pneumonoultramicroscopicsilicovolcanoconiosis.",Can black swan's formation type help spell longest word in Dictionary?,"Can the formation type of a black swan help the longest word in the Dictionary be spelled?
",Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,The sagas were Nordic mythological stories that were celebrated by the Vikings. The Song of Roland was an epic poem about the nephew of Charlemagne. Charlemagne was King of the Franks. The Franks fought many battles against Vikings including the Siege of Paris in 845 AD.,Was song of Roland protagonist friendly with group that had sagas?,Was the protagonist of Song of Roland considered friendly with a group that had sagas?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Candidates for the presidency of India must pay a deposit of Rs 15,000 A brand new iPhone 11 costs Rs 67,300",Is it more expensive to run for President of India than to buy a new iPhone 11?,Is running for President of India more expensive than buying a new iPhone 11?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Aurangabad is located in Maharashtra. Marathi is an Indo-Aryan language spoken predominantly by around 100 million Marathi people of Maharashtra, India. Rahul Dravid is fluent in Marathi.",Is it hard for Rahul Dravid to order food at a restaurant in Aurangabad?,Is food hard to be ordered by Rahul Dravid at a restaurant in Aurangabad?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,Autumn runs from September to the end of December in the US. Bears go into hibernation from September through April and are scarcely seen.,Is Autumn a good time to collect bear pelts in US?,Is Autumn considered a good time for bear pelts to be collected in the US?,No
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,"Rupert Murdoch's alma mater is Worcester College. Worcester College was founded in 1714. The first documented use of the term the United States of America was in a January 2, 1776 letter.",Does Rupert Murdoch's alma mater have more history than the USA?,Is more history had by Rupert Murdoch’s alma mater than by the USA?,Yes
What is the answer to the question below based on the given context? Limit your answer to only Yes or No. Don't include '.' in your answer.,There is no natural source for green food coloring approved by the FDA A paleo diet avoids artificial colors and flavors,Is a paleo dieter unlikely to color beverages green for St. Patrick's Day?,Are beverages unlikely to be colored green for St. Patrick’s Day by a paleo dieter?,Yes
